id,PARTY,PARTYNM,AREA,PERSON,OUTSTANDINGAMT
--,-----,-------,----,------,--------------
1,17,"Z AMIT GENERAL STORE, RAM KRUSHAN",ROLL (V),EXTRA,29397
2,18,"AMIT GENERAL STORE ( VINU BHAI ), MOHAN BAG   (Unclear Cheque :      32000)",MOHAN BAG,VIPULBHAI,536184
3,19,"ASHAPURI TRADERS, UDHNA YARD",UDHNA YARD,NITINBHAI 2,77935
4,20,"AMBIKA TRADING (NILGIRI), UDHNA YARD NAHER",UDHNA YARD NAHER,NITINBHAI 2,203831
5,21,"ARADHANA TRADERS, NAVAGAM",NAVAGAM,NITINBHAI 2,92975
6,22,"ARIHANT TRADERS ( DIPAK BHAI ), KATAR GAM   (Unclear Cheque :     266800)",KATAR GAM 2,NITINBHAI 1,247536
7,23,"AMAR SONS (SONY FALIYA), BHAGAL",BHAGAL,NITINBHAI 1,0
8,24,"ARIHANT TRADERS ( NARU BHAI ), KAMREJ   (Unclear Cheque :     240355)",KAMREJ,VIPULBHAI,75905
9,25,"ARIHANT TRADERS ( SURENDRA BHAI ), KAMREJ",KAMREJ,VIPULBHAI,0
10,26,"ASHA TRADERS, CHALTHAN",CHALTHAN,VIPULBHAI,15500
11,27,"ANAND TRADERS, KADODARA",KADODARA,VIPULBHAI,507700
12,28,"Z ANJALI SALES, VARSHA 2",ROLL (V),EXTRA,64218
13,29,"AMBIKA TRADING (SUMUL DAIRY ROAD), SUMUL DAIRY",KATAR GAM 1,NITINBHAI 1,90248
14,30,"Z ASHAPURA KARIYANA STORE, SAHAJANAND",ROLL (V),EXTRA,46255
15,31,"Z AMARDEEP PROVISION STORE, BHAGIRATHA",ROLL (V),EXTRA,9932
16,32,"AMBIKA KARIYANA STORE, BHOLA NAGAR",BHOLA NAGAR,VIPULBHAI,0
17,33,"Z ARIHANT TOBECO, AMROLI",ROLL (D),EXTRA,17138
18,35,"Z AMBIKA COCONUT, MOHANBAG",ROLL (V),EXTRA,19297
19,36,"ARIHANT TRADING (RANJIT), PANDESARA   (Unclear Cheque :      47511)",PANDESARA,NITINBHAI 2,1191959
20,37,"ASHAPURA TRADERS (RAMI PARK), GODADRA   (Unclear Cheque :     123950)",NAVAGAM,NITINBHAI 2,25068
21,38,"AGRAWAL TRADERS (BHARAT NAGAR), CHALTHAN",CHALTHAN,VIPULBHAI,154805
22,39,"AMBIKA KARIYANA, CHALTHAN",CHALTHAN,VIPULBHAI,245206
23,40,"ASHIRVAD SUPER STORE, KADODARA",KADODARA,VIPULBHAI,126125
24,41,"AGRAWAL TRADERS (VED ROAD), KATARGAM",KATAR GAM 1,NITINBHAI 1,22640
25,42,"AMAR TRADERS (DABGARVAD), BHAGAL",BHAGAL,NITINBHAI 1,0
26,43,"Z ARIHANT TRADERS (BALAJI), KADODRA",ROLL (D),EXTRA,9632
27,44,"Z AGRAWAL TRADERS SUGAR FACTORY, CHALTHAN",ROLL (D),EXTRA,3550
28,46,"AL KADIR GENERAL, ADAJAN PATIYA",PALANPUR PATIYA,NITINBHAI 1,45255
29,47,"AGRAWAL CORPORATION (VISHNUBHAI), (H.AGRAWAL BHAGVATI LAL) CHALTHAN",CHALTHAN,VIPULBHAI,0
30,48,"AMAJ KIRANA, SITARAM SOC",SITA RAM NAGAR,VIPULBHAI,6530
31,49,"ARIHANT TRADERS (PRAKASH BHAI), UDHANA YARD",UDHNA YARD,NITINBHAI 2,1462396
32,50,"AKSHAYPATRA FOUNDATION (I MATA ROAD), B/H DR WORLD",PARBAT PATIYA,KANBHAI,1079595
33,53,"AKASH TRADERS (MAHAPRABHU NAGAR), GODADARA",GODADARA 2,NITINBHAI 2,383958
34,54,"APMC SURAT (SAHARA DARWAJA), RING ROAD",PARBAT PATIYA,NITINBHAI 2,98485
35,56,"ARIHANT TRADERS, BHATAR ROAD",BHATAR ROAD,NITINBHAI 1,313900
36,57,"ASHA TRADERS, KHODIYAR NAGAR",KHODIYAR NAGAR,VIPULBHAI,58950
